項目,總計(人),國立(人),市立(人),私立(人)
111學年總計,44,0,32,12
111學年七年級合計,19,0,13,6
111學年七年級男,8,0,4,4
111學年七年級女,11,0,9,2
111學年八年級合計,11,0,8,3
111學年八年級男,8,0,6,2
111學年八年級女,3,0,2,1
111學年九年級合計,14,0,11,3
111學年九年級男,5,0,3,2
111學年九年級女,9,0,8,1
